Data
Chanderpaul and Gayle stroll, casually, out into the middle. No rush. Smallish crowd so far, just a sprinkling around the ground, but it will no doubt fill up quickly...and very quickly if (Chris) Gayle Force blows in.
Here come Australia, jogging out into the middle under a pleasingly cloud-free sky. We're in for a cracker here today. Just waiting for the two West Indian openers now...
Right, chaps. Thanks to all the UK readers who've written to say the GMT time is wrong. Actually, it's right - we're now on BST (British Summer Time) which is a different thing. 14.20BST is 13.20GMT. As you were.
Bob Willis is looking decidedly pink on television. He hasn't quite perfected David Gower's uber-smooth "I was born to present cricket from the beach" look. Mind you, he really has mastered that particular art.
"Tait and Bracken will blow the Windies away," roars the alliteratively named Big Brummie Bob. "Nice damp track, ball swinging around at 95mph - too much for the hosts I am afraid. West Indies less than 100 all out..." Fierce comments. We're ten minutes away from starting, barring a sudden monsoon, so hang around.
08.50
Good morning, g'afternoon and good evening to all. Jamie's fallen off his perch, so it'll me, Will Luke, and Jenny Thompson to take you through today's match (half of it, anyway). We're very excited and trust you are too. The good news is the rain has, at last, relented; in the words of our esteemed editor, Andrew Miller, "blue skies and fluffiness abound". We'll have more erudite observations from him, and us, shortly.
Rain delays play. Stumps
So thats all for today, folks. I shall be back with the action for you tomorrow at 13:30 GMT. Until then, good night/evening/afternoon/morning to all of you who've logged on, wherever you may be. Cheers!
16:01 local, 20:01 GMT Play has been postponed until tomorrow. The target for West Indies will indeed be 323 from 50 overs. Thats because Australia played out a full 50 overs.
15:53 local, 19:53 GMT Bad news, the drizzle is back and the covers are going back on. That should be that for the day. Just 32 minutes till the cut-off time.
15:45 local, 19:45 GMT Okay, I have news for all of you. The target, for West Indies, has been set as 163 from 20 overs. Hmmm...the only question remains the start time. Thats not been confirmed. I doubt they'll get 20 overs in. The Aussies are on the outfield getting ready, so something is happening...
15:41 local, 19:41 GMT Whats this? The covers are coming off...will they have a go at this? A little smashathon? I'll feed you details as they come in...
Did Omair's poetry have anything to do with this?
Andrew: "It's very humid out there, but the mizzle does seem to have stopped. Pretty dark too, but then that's been the case all day."
Let me remind you that you can now watch an animated representation of our commentary on Cricinfo 3D. It uses all our scoring data to render a 3d representation of the game, with various camera angles for you to play around with, and it has features such as wagon wheels, pitch maps, and the live scorecard. There are also replays after every wicket and boundary on demand, as well as celebrations for wickets. Oh, and it's free. Click away.
15:34 local, 19:34 GMT Andrew and his posse at the ground reckon the latest restart has to be 4.25pm local, for a 20-over slog. Interesting.
15:22 local, 19:22 GMT Andrew again: "The groundstaff are loitering but to no great avail. I think we're going to have to conclude this one tomorrow. The latest we can play is until 5.45pm local, according to those in the know. It's currently 3.20pm. And with 20 overs required to constitute a game, they'll need to get started within the hour."
Definitely not good news for the fans out there right now. That means, probably, that if there's no play today, West Indies will still chase 323 with a full 50 overs tomorrow. And thats only if a calculation has been made that they stick to that.
As we kill time, here's a little ditty from one of our readers, Omair Shamim, who picked up on - nay, was inspired by - Andrew's update:
"Its really a crapy mizzle
Its barely even a drizzle
But there is so much water on the covers
There is not point to "muscle"
Still a generous crowd waiting
Just for umpire to give whistle"
See what free time can do to a man? Can we get the game going please...
14:53 local, 18:53 GMT Andrew Miller, from the ground, buzzes: "It's a really crappy mizzle. It's barely even raining, but with so much water already on the covers there's no point in trying to mop up. Still a generous crowd waiting patiently on the grass banks though." Well, there you have it.
14:33 local, 18:33 GMT Theres no let-up. The covers remain on the square. Players still inside.
13:59 local, 17:59 GMT The rain has returned, and the waiting game begins. Watch this space for further updates. I cannot give you an idea as to how long play will be suspended. Its a drizzle.
Please do have a look at our guide to the Super Eights. It will help clarify alot of the questions that are coming in.
16.3;1;Taylor to Hayden, 1 run short of a length outside off stump, Hayden opens the face and places it to the right of Smith at point, but he dives and saves runs;
16.2;1;Taylor to Clarke, 1 run good length outside off stump, he gets forward and pushes right to Chanderpaul at mid-off and calls for the run, and luckily for him a poor throw lets him off, had it hit he was a goner;
16.1;?;Taylor to Clarke, no run back of a length outside off stump, up on the toes goes Clarke, punching to cover and telling Hayden to stay where he is as cover swoops in;
15.6;1;Collymore to Clarke, 1 run drifts to leg and Clarke flicks it around the corner down to Chanderpaul at fine leg;
15.5;2;Collymore to Clarke, 2 runs good length outside off stump, Clarke gets forward and runs it down to third man for two, wants the third but decides against it, wisely;
15.4;?;Collymore to Clarke, no run good length on off stump, he plants the front leg forward and flicks across the line to midwicket;
15.3;?;Collymore to Clarke, no run fuller length outside off stump, Clarke drops the angled bat down on it and squeezes it to backward point;
15.2;1;Collymore to Hayden, 1 run Hayden walks down the crease and Collymore digs it in short, Hayden pulls over midwicket out to the man on the ropes;
15.1;?;Collymore to Hayden, no run good length outside off stump, defended to Sarwan at cover;
14.6;?;Taylor to Clarke, no run back of a length delivery moves in a wee bit from outside off stump, Clarke stands and works it to mid-on and doesnt want the run..wise move from the youngster;
14.5;1;Taylor to Hayden, 1 run almost! Back of a length outside off stump, Hayden gets back and drops it in front of point and set off, Clarke is really struggling but a wayward throw misses and he's home!;
14.4;W;Taylor to Ponting, OUT and a piece of brilliance gets rid of a brillant batsman! A good length delivery outside off stump, Ponting lunges forward and drives into the covers and sets off, Sarwan collects the ball and has one stump to aim at, and doesnt miss! A superb throw that catches Ponting just short of his crease, even though he was going full stretch! Great work!;Ricky Ponting run out (Sarwan) 35 (46m 36b 4x4 1x6) SR: 97.22;
14.3;?;Taylor to Ponting, no run short of a length outside off stump, Ponting goes back on the toes and punches, away from his body, to cover;
14.2;1;Taylor to Hayden, 1 run good length on off stump, Hayden has a step across and tickles it around the corner to Collymore at short fine leg for one;
14.1;?;Taylor to Hayden, no run good length moving in from about off stump and Hayden gets back and turns it straight to midwicket;
13.6;1;Collymore to Hayden, 1 run back of a length on the stumps, Hayden goes back and across and drives wide of Lara at mid-on for a single to keep strike;
13.6;1w;Collymore to Hayden, 1 wide angled down leg stump, Hayden looks to flick but misses and the umpire signals wide;
13.5;?;Collymore to Hayden, no run good length outside off stump, no room to work with and Hayden defends it back to Collymore;
13.4;?;Collymore to Hayden, no run a tad fuller on off stump, he gets his head down and defends back to the bowler;
13.3;?;Collymore to Hayden, no run back of a length on middle and off, driven back towards Collymore's left;
13.2;2;Collymore to Hayden, 2 runs back of a length on leg stump, clipped past short fine leg for a brace;
13.1;1;Collymore to Ponting, 1 run back of a length on the stumps, Ponting shuffles across to off, exposing leg, and taps it wide of square leg for one;
12.6;1;Taylor to Ponting, 1 run good length outside off stump and Ponting drives, ending up with an inside-edge back past leg stump that trickles down to fine leg;
12.5;?;Taylor to Ponting, no run back of a length on off stump, Ponting gets behind the line and defends back to Taylor;
12.4;?;Taylor to Ponting, no run now a tad fuller outside off stump, this time Ponting comes forward and defends stoically;
12.3;4;Taylor to Ponting, FOUR runs good length outside off stump, and what does he do? He stands there and whips it from outside off through midwicket and mid-on and the ball runs away for four! Hah!;
12.2;?;Taylor to Ponting, no run good length outside off stump, no movement whatsoever, Ponting walks into his defense to cover;
12.1;1;Taylor to Hayden, 1 run fraction width offered and Hayden cuts it wide of gulley down to third man;
11.6;1;Collymore to Hayden, 1 run short of a length on left stump, Hayden gets up and works it off the hips just wide of square eg and calls for an easy run;
11.5;?;Collymore to Hayden, no run back of a length on off stump, he stands up and defends back down the ground, 'NO MATE' is the call back to his partner;
11.4;?;Collymore to Hayden, no run good length on middle and leg, Hayden gets forward and flicks it right to the squaer leg fielder;
11.3;1;Collymore to Ponting, 1 run overpitched on middle and leg and Ponting flicks through midwicket, theres a man back on the ropes so now chance of a four;
11.2;1;Collymore to Hayden, 1 run back of a length on middle and leg, Hayden places it wide of Lara at midwicket and steals a single;
11.1;?;Collymore to Hayden, no run back of a length outside off stump, Hayden stands up and defends to backward point;
10.6;4;Powell to Ponting, FOUR runs a low full toss outside off stump and Ponting doesnt let it go, just leans forward and drives it between cover and point and the ball speeds across what is a sluggish outfield for four;
10.5;?;Powell to Ponting, no run good length ball on off stump, Ponting gets forward and presents a textbook defense back to Powell;
10.4;?;Powell to Ponting, no run back of a length outside off stump, Ponting gets bat and pad together as he rocks forward to defend to cover;
10.3;1;Powell to Hayden, 1 run again he has a walk down the track, whipping a good length delivery from outside off stump towards square leg;
10.2;?;Powell to Hayden, no run good length outside off stump, Hayden gets forward and drives to cover, cant beat the man there though;
10.1;?;Powell to Hayden, no run back of a length outside off stump, Hayden stands and chops it to point;
9.6;4;Collymore to Ponting, FOUR runs sublime! Too full on off stump, Ponting gets well over it and just effortlessly flicks it over square leg for four;
9.5;4;Collymore to Ponting, FOUR runs good length outside off stump, Ponting plants the front leg down the track and short-arm punches that in the over just wide of mid-off for four;
9.4;?;Collymore to Ponting, no run good length on off stump, defended back;
9.3;?;Collymore to Ponting, no run full and wide, he gets down on bended knee and crunches a powerful square drive but a superb effort at point saves four runs, great stuff from Bravo;
9.2;?;Collymore to Ponting, no run madness! Good length on the stumps, Ponting gets over it and drives in front of mid-on and sets off, Hayden stands unmoved and sends him back, Pontings halfway down the track, turns and sprints back to his end and manages to beat the throw;
9.1;?;Collymore to Ponting, no run slower one smack on the money just outside off stump, a hint of movement away from Ponting, who covers his stumps and holds back the bat;
8.6;4;Powell to Hayden, FOUR runs oh ho! Now Hayden, already standing outside his crease, walks down the track and hammers a good length delivery back over Powell's head for four! Thats arrogance!;
8.5;1;Powell to Ponting, 1 run short of a length and coming in from outside off stump, Ponting uses soft hands to drop it in front of the off side fielders and steals a single;
8.4;?;Powell to Ponting, no run good length outside off stump, driven to cover;
8.3;3;Powell to Hayden, 3 runs too full outside off stump and Hayden square-drives that past point for a couple;
8.2;?;Powell to Hayden, no run short of a length outside off stump, he mistimes his cut to point;
8.1;?;Powell to Hayden, no run good length outside off stump, Hayden leans into his drive but cant beat Samuels in the covers;
7.6;?;Taylor to Ponting, no run good length outside off stump, he gets forward but mistimes the attempted cover drive, chopping into the ground in front of point;
7.5;?;Taylor to Ponting, no run slower one, striving for the yorker outside off stump, well done and Ponting defends it back to the bowler;
7.4;1;Taylor to Hayden, 1 run back of a length outside off stump, Hayden waits for it and plays with soft hands, tapping it in front of point for a quick single;
7.3;4;Taylor to Hayden, FOUR runs and again! Hayden receives a slower ball, too full outside off stump, and drives it smack in that same gap for another boundary;
7.2;4;Taylor to Hayden, FOUR runs more width on offer and Hayden gets onto one knee and flashes a firm drive in the gap between cover and mid-off, albeit in the air for a seconds, and picks up his first four;
7.1;?;Taylor to Hayden, no run overpitched outside off stump, the slower ball, Hayden drives to cover;
6.6;6;Powell to Ponting, SIX runs bang, thats six! Powell decides to bounce him but the lack of carry does him in, Ponting just swivels on one foot and hooks it over deep backward square leg for half a dozen! Shot!;
6.5;?;Powell to Ponting, no run good length on middle and off, thats a confident on drive but straight to mid-on;
6.4;2;Powell to Ponting, 2 runs back of a length, moves in from outside off stump and Ponting has to hurry to work it off the hips in front of square for runs;
6.3;?;Powell to Ponting, no run back of a length on middle and off, he shuffles and works it to the on side;
6.2;?;Powell to Ponting, no run good length on off stump and he drives superbly back down the ground, too well timed and the ball ricochets onto the nonstrikers stumps;
6.1;?;Powell to Ponting, no run short of a length outside off stump, he gets behind it and defends to the off side;
5.6;?;Taylor to Hayden, no run slower delivery angled across off stump, stays low too as Hayden flashes at it and misses;
5.5;3;Taylor to Ponting, 3 runs fractionally overpitched outside off stump and Ponting lunges forward to drive down the ground, mid-off dives over it and has to scramble to haul it in and thats an easy three;
5.4;2;Taylor to Ponting, 2 runs too full and straying down the pads, Ponting shuffles and clips it well past short fine leg, ball looks certain to be a four, but Chanderpaul dives superbly and saves two on the ropes, good to see that kind of effort;
5.3;?;Taylor to Ponting, no run good length just outside off stump, Ponting gets over it and defends it to point;
5.2;1;Taylor to Hayden, 1 run short of a length outside off stump, just tapped wide of point and Hayden gets off a duck;
5.2;1w;Taylor to Hayden, 1 wide another bad ball down leg stump, just drifting too far and thats called wide;
5.1;?;Taylor to Hayden, no run good length outside off stump, Hayden gets forward and drives nicely down the ground to mid-off;
4.6;?;Powell to Ponting, no run good ball, full in the blockhole and Ponting has to react quickly to dig it out back to Powell's left;
4.5;2;Powell to Ponting, 2 runs good length on off stump, there's the trademark lunge forward and whip through midwicket for Ponting to open his account;
4.4;?;Powell to Ponting, no run back of a length on about off stump, Ponting gets up and defends it back to Powell;
4.3;?;Powell to Ponting, no run good length outside off stump, Ponting walks into a confident-looking defensive shot to cover;
4.2;4lb;Powell to Ponting, 4 leg byes another shortish one down leg side, Ponting looks to put it away but the ball clips the pads and he has to settle for leg-byes;
4.1;W;Powell to Gilchrist, OUT edged and gone! Powell bangs in a shorter one at a good pace, lands on about middle and leg and moves in a tad, Gilchrist hops up and defends, maybe he was trying to get bat out of the way, but there's the thinnest of edges through and Ramdin moves to his right and holds a good catch low down! Gilchrist starts to walk before Asad Rauf raises the finger and West Indies have drawn first blood;Adam Gilchrist c ?Ramdin b Powell 7 (21m 9b 0x4 0x6) SR: 77.77;
3.6;?;Taylor to Hayden, no run back of a length outside off stump, now he squeezes it to the off side and Bravo moves quickly from short extra cover to field it, and Hayden still remains on 0;
3.5;?;Taylor to Hayden, no run good length just outside off stump, Hayden stands and defends to the offside;
3.4;?;Taylor to Hayden, no run tighter line this time, good length on the stumps, Hayden jams bat and pad together and defends back to Taylor;
3.3;?;Taylor to Hayden, no run beaten by a slower one that swings away from off stump, Hayden stands rooted and just wafts at it, very close to getting an edge;
3.2;?;Taylor to Hayden, no run good length well outside off stump, Hayden thinks about driving it and ends up loosely chasing it to get beaten;
3.1;3;Taylor to Gilchrist, 3 runs back of a length on leg stump, poor line, Gilchrist shuffles and works it in the gap on the leg side and Collymore gives chase, an easy three to the batsmen;
2.6;?;Powell to Hayden, no run back of a length outside off stump, left alone;
2.5;?;Powell to Hayden, no run back of a length on middle and leg this time, Hayden has no option but to defend it back to the bowler;
2.4;?;Powell to Hayden, no run back of a length on off stump, Hayden gets up and defends it back to Powell, who's bowling well here;
2.3;?;Powell to Hayden, no run similar length and carry but much closer to off stump, a confident Hayden shoulders arms once more;
2.2;?;Powell to Hayden, no run bends his back into this one, a back of a length, quicker delivery outside off to stump to which Hayden again shoulders arms;
2.1;?;Powell to Hayden, no run good length delivery quite outside off stump and Hayden just shoulders arms to it;
1.6;2;Taylor to Gilchrist, 2 runs more width offered this time and he goes through with a square-drive, not timed to perfection, but its in the gap between cover and point and they steal runs as Sarwan gives chase and hauls it in comfortably;
1.5;?;Taylor to Gilchrist, no run beaten by one that lands on a sweet length just outside off stump, the ball does enough off the pitch and Gilchrist is suckered into a tame drive away from the body;
1.4;2;Taylor to Gilchrist, 2 runs back of a length on leg stump, Gilchrist works that away behind square for a couple;
1.4;1w;Taylor to Gilchrist, 1 wide but thats another wide well down leg stump, which Taylor doesnt approve of, visibly;
1.3;?;Taylor to Gilchrist, no run back of a length on off stump, Gilchrist stands and works it to midwicket again, Taylor hitting a good length already;
1.2;?;Taylor to Gilchrist, no run short of a length on the stumps, he moves around and works it straight to midwicket;
1.1;?;Taylor to Gilchrist, no run good length moving in from middle stump, Gilchrist doesnt move his feet much but squeezes it out to cover with a firm 'NO' back to Hayden;
1.1;1w;Taylor to Gilchrist, 1 wide back of a length delivery goes down leg stump for a wide;
0.6;?;Powell to Hayden, no run good length outside off stump, he gets forward and drives back down the track, mid-off moves quickly and gets to it;
0.5;?;Powell to Hayden, no run overpitched outside off stump, he leans into his drive but cant beat Samuels at cover;
0.4;?;Powell to Hayden, no run good stuff, short of a length with some good purchase off the deck, Hayden stands rooted and decides to leave it on length, and it deviates over the top of middle stump;
0.3;?;Powell to Hayden, no run good length outside off stump, defended towards point;
0.2;?;Powell to Hayden, no run good length outside off stump, he gets half forward and drives and gets an inside-edge to square leg;
0.1;1lb;Powell to Gilchrist, 1 leg bye back of a length on leg stump, Gilchrist tries to tickle it fine but mistimes it to short fine leg for a leg-bye;

Right, we're live! The two umpires from Pakistan, Aleem Dar and Asad Rauf, have taken their positions and the West Indians are setting themselves up in the field. A very vocal crowd out today, lots of home support with Australians scattered here and there. Adam Gilchrist to face Daren Powell. Two slips in place, three men on the off side, two saving runs on the leg inside the circle. Buckle up, here we go!
* * * * * * * * * *
Hello and welcome to the first match of the 2007 World Cup Super Eights, between West Indies and Australia at the newly inaugurated Sir Vivian Richards Stadium in St John's, Antigua.
I'm Jamie Alter, your commentator, and I'll be here till the very last delivery.
The toss: Mark Nicholas was down with the two captains, and looked on as Brian Lara won the toss and elected to field on a virgin strip. The West Indies have brought in Corey Collymore for Ian Bradshaw. Australia have fielded the same side from the win over South Africa, meaning Andrew Symonds is preferred over the in-form Brad Hodge.
Pitch report: This a brand new venue, and so little is known about the surface, but the groundsmen hope it offers much more than the old Antigua Recreation Ground which was a notorious featherbed. Michael Holding reckoned the shaved surface has been rolled well, so it keeps together, and that cracks won't open up easily. It looks hard, real hard, which should encourage the side that bats first.
Incidentally, Andrew Miller, our man at the ground, informs me that its been drizzling all morning and the local weather men say the clouds are likely to linger. Watch this space for more...
The scenario: Australia are second in the overall tournament standings, just behind Sri Lanka on run rate, while West Indies are third. Both sides have carried over two points into this round.
Current form: As S Rajesh pointed out in his stats preview of this game, in the last ten matches, both teams have won five each. The West Indies, who won all three of their group matches, beat Australia in a Champions Trophy match last year before they lost to the same team in the final. Australia are in ominous form, and having dismissed minnows Scotland and the Netherlands with typical ruthlessness, they recorded a crushing victory over the world's top-ranked one-day side South Africa.
Captains' call: Brian Lara has admitted his side still have plenty of work to do if they are to match the standard set by reigning world champions Australia at this World Cup. "We are trying to create a lot of match-winners, not just one or two, in our team," he said. "We are dangerous - but they are more dangerous. I am quietly confident that we can perform pretty well in this World Cup. The tournament still has a month left, and it is important to take each game at a time - don't get over-confident."
Ricky Ponting stressed Australia were expecting a tough test from the hosts. "I think they are a very good one-day side. It will take a performance similar to the one we had against South Africa the other day to beat them."
Let me remind you that you can now watch an animated representation of our commentary on Cricinfo 3D. It uses all our scoring data to render a 3d representation of the game, with various camera angles for you to play around with, and it has features such as wagon wheels, pitch maps, and the live scorecard. There are also replays after every wicket and boundary on demand, as well as celebrations for wickets. Oh, and it's free. Click away.
 Innings Start
In dismissing them inside their 50 overs, Australia have avoided a slow over-rate penalty. And it's a big, big win for them - 103 runs - with just Brian Lara, inevitably, holding up their victory charge with a slick 77. Denesh Ramdin showed plenty of ability and class in his 52 but it was the failings of the top-order which hurt the West Indies. Chris Gayle 2; Shivnarine Chanderpaul 5; Ramnaresh Sarwan 29 and Marlon Samuels 4. There were some decidedly complacent, injudicious strokes in those wickets too. All in all, a comprehensive, worry-free win for Australia. Keep an eye out for the verdict and the bulletin but, from me Will Luke, and Jenny Thompson, it's good night.
45.3;W;Tait to Powell, OUT gone! And it's all over. Full and straight from Tait; Powell takes another step outside leg, and is comprehensively bowled;Daren Powell b Tait 5 (10m 9b 0x4 0x6) SR: 55.55;
45.2;?;Tait to Powell, no run not quite sure what he was attempting there...he took a good step outside his leg stump, trying to uppercut it...missing it by at least a metre;
45.1;?;Tait to Powell, no run quick, spearing into the batsman who gives himself a touch of room, pinging it powerfully to mid-off;
44.6;?;Bracken to Collymore, no run neatly defended on the front foot;
44.5;1;Bracken to Powell, 1 run gone! No, ignore me. A big swish over cover but it lands safe;
44.4;?;Bracken to Powell, no run and a play-and-a-miss;
44.3;1;Bracken to Collymore, 1 run excellent ball, squaring him up but he plays it well, angling it down;
44.2;W;Bracken to Ramdin, OUT gone! A slower ball, on middle stump and just angling across the batsman who tried to smash it over the bowler's head...a thin outside edge which Gilchrist gobbles;Denesh Ramdin c ?Gilchrist b Bracken 52 (56m 43b 6x4 0x6) SR: 120.93;
44.1;1;Bracken to Powell, 1 run pushed out to cover;
43.6;2;Tait to Ramdin, 2 runs turned around to fine leg and they pick up a single. No, they're going for two - and they'll get it easily;
43.5;4;Tait to Ramdin, FOUR runs well that's a fine stroke with which to bring up a combative fifty, uppercutting it wide of third man. Excellent cricket;
43.4;1;Tait to Powell, 1 run pushed out to mid-off, to Symonds, who shies and - breaking news - misses;
43.3;1b;Tait to Ramdin, 1 bye close! A huge swing and a miss, the batsman appearing to glove the ball mere millimetres from his off stump;
43.2;1;Tait to Powell, 1 run crashed on the front foot, but there's no power in the stroke;
43.1;1;Tait to Ramdin, 1 run worked off his legs for a single;
42.6;1;Symonds to Ramdin, 1 run a full toss which is pumped to long-on to end the over;
42.5;1;Symonds to Powell, 1 run pat-pads this to cover;
42.5;5w;Symonds to Powell, 5 wide the wrong line, drifting down the leg stump and it races for four. Pretty sloppy from GIlchrist;
42.4;W;Symonds to Taylor, OUT and he's gone. Big indrift for Symonds there, foxing the batsman who tried to sweep and was trapped in front;Jerome Taylor lbw b Symonds 10 (13m 18b 1x4 0x6) SR: 55.55;
42.3;?;Symonds to Taylor, no run pushed back to the bowler;
42.2;?;Symonds to Taylor, no run again pushed to mid-on but timed it too well to get a run;
42.1;1;Symonds to Ramdin, 1 run full and straight, punched to a wide mid-on;
41.6;4;Hogg to Taylor, FOUR runs shot. In the slot, he slog-sweeps it over midwicket. That's what we like;
41.5;?;Hogg to Taylor, no run slightly wide of the off stump but a crisp drive finds point;
41.4;2;Hogg to Taylor, 2 runs very neatly swept around the corner;
41.3;1;Hogg to Ramdin, 1 run big turn there, back into the right hander who chops to gully;
41.2;1;Hogg to Taylor, 1 run off the back foot, he works it to cover for a quick single. Tait thinks about throwing down the stumps...but decides against it;
41.1;1;Hogg to Ramdin, 1 run ooh, swept aerially but it falls short of the man running round from fine-leg;
40.6;?;Symonds to Taylor, no run worked around the corner;
40.5;?;Symonds to Taylor, no run defended on the front foot;
40.4;1;Symonds to Ramdin, 1 run worked off his legs through midwicket;
40.3;4;Symonds to Ramdin, FOUR runs neat stroke, lofting it over cover for four;
40.2;1;Symonds to Taylor, 1 run pushed to midwicket for a quick single;
40.1;1;Symonds to Ramdin, 1 run single to long-on;
39.6;?;Hogg to Taylor, no run pokes the blade towards that one, misses, but wasn't near connecting, so no drama;
39.5;?;Hogg to Taylor, no run shuffled into the covers and there's a quick single;
39.4;?;Hogg to Taylor, no run defended tidily;
39.3;1;Hogg to Ramdin, 1 run worked out to point;
39.2;1;Hogg to Taylor, 1 run turns in from outside leg, the batsman has room, in turn, to turn that in front of midwicket. Lots of turning, like a driving Test or nothing (ah, test... too much cricket!);
39.1;?;Hogg to Taylor, no run didn't pick the googly and that's a very good shout indeed from Gilchrist who whips off the bails before you can say "Third umpire". But Taylor, rightly, got the benefit of the doubt - after several replays from different angles;
38.6;2;Symonds to Ramdin, 2 runs thrown back in from fine leg, but they can't prevent the second;
38.5;4;Symonds to Ramdin, FOUR runs low, full, and spanked over long-on;
38.4;?;Symonds to Ramdin, no run up there and well dug out;
38.3;?;Symonds to Ramdin, no run turned to midwicket;
38.2;1;Symonds to Taylor, 1 run outside off and that's dibbled into the covers;
38.1;1;Symonds to Ramdin, 1 run turn and bounce outside off and that's worked behind point;
37.6;?;Hogg to Taylor, no run another tricksy ball, but the batsman does well to stab his bat down on that one;
37.5;?;Hogg to Taylor, no run oh, nearly took the edge there as that one turned right back in from leg and popped up a touch too, a devil to play;
37.4;W;Hogg to Smith, OUT gone! Leg break which would have gone on to clip off and middle about four-fifths of the way up the stumps. Australia continue to close in on victory now - it's just a matter of time;Dwayne Smith lbw b Hogg 9 (5m 7b 0x4 1x6) SR: 128.57;
37.3;6;Hogg to Smith, SIX runs now this is a nice shot! Down the track, left, right, left and that's struck very well over cow corner;
37.2;1;Hogg to Ramdin, 1 run drags that a touch short and that's a bit of a despairing - yet at the same time forceful -sweep round to square;
37.1;?;Hogg to Ramdin, no run worked off the back foot to point and it's zoomed back in underarm;
36.6;1;Symonds to Ramdin, 1 run gives it a touch of flight and that's flatbatted up through the covers. "Ca.... aaatch," cries Gilchrist, sounding oddly like his voice is in slo-mo;
36.5;2;Symonds to Ramdin, 2 runs more width, Symonds struggling with his line here, and that's dinked into the off side;
36.4;2;Symonds to Ramdin, 2 runs guided down through third man;
36.3;1;Symonds to Smith, 1 run right up there and driven out to long-on;
36.2;2;Symonds to Smith, 2 runs wide and that's worked into the covers;
36.1;1;Symonds to Ramdin, 1 run cheeky - the batsman coming outside off, presenting the face of his bat to sweep behind square;
35.6;?;Hogg to Smith, no run defended into the covers;
35.5;?;Hogg to Smith, no run defended down;
35.4;?;Hogg to Smith, no run that angles across him from leg and defended down;
35.3;W;Hogg to Lara, OUT a huge appeal and that's a tame effort from Lara, a full delivery and he came down the track, yorking himself in the end, and that raps him on the knee at daisy height. The newly shorn Hogg is loving it, as are the Australia players, who swarm around him;Brian Lara lbw b Hogg 77 (118m 83b 8x4 1x6) SR: 92.77;
35.2;?;Hogg to Lara, no run driven to mid-on;
35.1;1;Hogg to Ramdin, 1 run pushed right up there and that's poked down off the front foot;
34.6;2;Bracken to Lara, 2 runs wider and that's worked down to third man and the crowd love it - tooting their horns in appreciation;
34.5;?;Bracken to Lara, no run outside off and that's cut into the ground, Lara looking hungry for more runs;
34.4;1;Bracken to Ramdin, 1 run outside off again, a touch straighter to the righthander who works that down to third man;
34.3;1;Bracken to Lara, 1 run outside off and that's guided easily away to deep third man;
34.2;1;Bracken to Ramdin, 1 run angles across Ramdin and that's crashed in the air through gully but evades a diving Clarke;
34.1;4;Bracken to Ramdin, FOUR runs short, slower, and the batsman does well to give himself room, tucking back to time that well behind point off the back foot and it races away;
33.6;2;Hogg to Lara, 2 runs neat shot, walking into that and rushing it in front of midwicket for two;
33.5;2;Hogg to Lara, 2 runs overthrows - a desperate shy at the striker's end from Watson after Lara tried to sweep on one knee, not cleanly connecting;
33.4;1;Hogg to Ramdin, 1 run oh, Hogg nearly does him with one that's pitched up there and he nearly falls into that shot, nearly;
33.3;1;Hogg to Lara, 1 run shuffle-drives that one off his front foot to long-off;
33.2;2;Hogg to Lara, 2 runs a let-off - Lara going for the repeat but not quite getting the distance, but that drops short of the man at extra cover;
33.1;6;Hogg to Lara, SIX runs clears the man at long-off - well clear - with, well you can probably guess but I'll tell you anyway, a really sweet straight drive... comes out of his crease and latches on quickly and sends that high and straight;
32.6;1;Bracken to Lara, 1 run wide outside off, Lara kneels down and late cuts that off one knee down to third man;
32.5;?;Bracken to Lara, no run driven to the man at long-off this time;
32.4;1;Bracken to Ramdin, 1 run short and belted towards midwicket;
32.3;1;Bracken to Lara, 1 run played out behind point;
32.2;4;Bracken to Lara, FOUR runs what a short, Lara just waits and, well, that was magnificent - he deftly touches that away through the vacant first slip; deliberately and sweetly as you like. And you do like;
32.1;?;Bracken to Lara, no run pushed right up there, straight, and that's dug out well;
31.6;1;Hogg to Lara, 1 run tickled to midwicket;
31.5;1;Hogg to Ramdin, 1 run Hogg has taken a blow of another kind, that one dibbled into the gully and Clarke shies that over to the non-striker's end where it bounces up and, let's just say, awkwardly at Hogg. Hogg smiles, or was that winces?;
31.4;1;Hogg to Lara, 1 run doesn't quite get hold of that one, teeing off with an off-drive;
31.3;2;Hogg to Lara, 2 runs waits on the back foot, and makes a smidge of room for one which is wide already, to work that through point;
31.2;?;Hogg to Lara, no run puts that on the money and Gilly says that was "Nice, George".;
31.1;?;Hogg to Lara, no run poked down off the back foot;
30.6;1;McGrath to Lara, 1 run short and Lara connects cleanly, pulling that down to square;
30.5;1;McGrath to Ramdin, 1 run straight again, but Ramdin takes a stride to off to swish it back to leg and there's an easy run there;
30.4;?;McGrath to Ramdin, no run straight, and McGrath, like a doting father, tucks him right up. No lullaby, though;
30.3;4;McGrath to Ramdin, FOUR runs width from McGrath and that's hammered off the back foot with a crashing blow through cover. We like that;
30.2;?;McGrath to Ramdin, no run pushed into the covers;
30.1;?;McGrath to Ramdin, no run chops down and an inside edge crashes into the ground, threatening to take the off sticke. He gets away with it this time;
29.6;1;Hogg to Ramdin, 1 run comes forward to meet this wider ball, clumping it without power to cover;
